TIME,OECD_Indicator
1989-09,100.0813
1989-10,99.87056
1989-11,99.70457
1989-12,99.58515
1990-01,99.48891
1990-02,99.4138
1990-03,99.39773
1990-04,99.45335
1990-05,99.52037
1990-06,99.53601
1990-07,99.47598
1990-08,99.34214
1990-09,99.15041
1990-10,98.93241
1990-11,98.71666
1990-12,98.57319
1991-01,98.56052
1991-02,98.70141
1991-03,98.96999
1991-04,99.27095
1991-05,99.56452
1991-06,99.84536
1991-07,100.1149
1991-08,100.3533
1991-09,100.5082
1991-10,100.557
1991-11,100.5263
1991-12,100.4664
1992-01,100.4373
1992-02,100.4591
1992-03,100.5055
1992-04,100.5106
1992-05,100.3776
1992-06,100.0925
1992-07,99.72485
1992-08,99.3917
1992-09,99.18262
1992-10,99.12991
1992-11,99.21027
1992-12,99.38103
1993-01,99.57696
1993-02,99.78983
1993-03,100.0058
1993-04,100.2144
1993-05,100.403
1993-06,100.5616
1993-07,100.7164
1993-08,100.8657
1993-09,100.9688
1993-10,101.0133
1993-11,101.003
1993-12,100.9459
1994-01,100.8493
1994-02,100.6934
1994-03,100.5041
1994-04,100.3353
1994-05,100.2216
1994-06,100.1536
1994-07,100.1055
1994-08,100.0675
1994-09,100.0035
1994-10,99.90995
1994-11,99.80241
1994-12,99.69373
1995-01,99.62673
1995-02,99.60297
1995-03,99.61137
1995-04,99.65289
1995-05,99.72424
1995-06,99.80776
1995-07,99.87186
1995-08,99.91197
1995-09,99.9227
1995-10,99.91017
1995-11,99.88576
1995-12,99.86932
1996-01,99.86869
1996-02,99.88987
1996-03,99.91527
1996-04,99.93149
1996-05,99.91687
1996-06,99.89508
1996-07,99.89152
1996-08,99.91451
1996-09,99.95642
1996-10,100.0077
1996-11,100.0526
1996-12,100.1073
1997-01,100.188
1997-02,100.2962
1997-03,100.4152
1997-04,100.5383
1997-05,100.6475
1997-06,100.737
1997-07,100.8143
1997-08,100.8921
1997-09,100.9539
1997-10,100.9799
1997-11,100.9693
1997-12,100.9488
1998-01,100.9222
1998-02,100.8903
1998-03,100.8213
1998-04,100.678
1998-05,100.4427
1998-06,100.1216
1998-07,99.75607
1998-08,99.42527
1998-09,99.20914
1998-10,99.14507
1998-11,99.26482
1998-12,99.53823
1999-01,99.92989
1999-02,100.4083
1999-03,100.8955
1999-04,101.3118
1999-05,101.631
1999-06,101.8465
1999-07,101.933
1999-08,101.8729
1999-09,101.6973
1999-10,101.4509
1999-11,101.212
1999-12,101.016
2000-01,100.8638
2000-02,100.7536
2000-03,100.6812
2000-04,100.6128
2000-05,100.5557
2000-06,100.4999
2000-07,100.4558
2000-08,100.441
2000-09,100.4639
2000-10,100.5327
2000-11,100.6171
2000-12,100.6763
2001-01,100.6865
2001-02,100.6557
2001-03,100.5966
2001-04,100.5265
2001-05,100.453
2001-06,100.3579
2001-07,100.2352
2001-08,100.1119
2001-09,100.006
2001-10,99.93453
2001-11,99.91998
2001-12,99.95553
2002-01,100.0406
2002-02,100.1563
2002-03,100.2853
2002-04,100.3867
2002-05,100.4045
2002-06,100.347
2002-07,100.2568
2002-08,100.1419
2002-09,99.99433
2002-10,99.79722
2002-11,99.54408
2002-12,99.25137
2003-01,98.97047
2003-02,98.77855
2003-03,98.71188
2003-04,98.76343
2003-05,98.88396
2003-06,99.04244
2003-07,99.20732
2003-08,99.36812
2003-09,99.52818
2003-10,99.68502
2003-11,99.84106
2003-12,99.99458
2004-01,100.1117
2004-02,100.1752
2004-03,100.1838
2004-04,100.1459
2004-05,100.0871
2004-06,100.0336
2004-07,100.0045
2004-08,100.0207
2004-09,100.0819
2004-10,100.1734
2004-11,100.2623
2004-12,100.3208
2005-01,100.3416
2005-02,100.3259
2005-03,100.2826
2005-04,100.2189
2005-05,100.149
2005-06,100.0976
2005-07,100.0736
2005-08,100.0719
2005-09,100.0941
2005-10,100.1487
2005-11,100.2529
2005-12,100.3901
2006-01,100.528
2006-02,100.6836
2006-03,100.8365
2006-04,100.9803
2006-05,101.1067
2006-06,101.2196
2006-07,101.3415
2006-08,101.5045
2006-09,101.7348
2006-10,101.9978
2006-11,102.2649
2006-12,102.5229
2007-01,102.7588
2007-02,102.9746
2007-03,103.1521
2007-04,103.2744
2007-05,103.3203
2007-06,103.2682
2007-07,103.1279
2007-08,102.9406
2007-09,102.7387
2007-10,102.5093
2007-11,102.2248
2007-12,101.8913
2008-01,101.4987
2008-02,101.0339
2008-03,100.4844
2008-04,99.81976
2008-05,99.0298
2008-06,98.13802
2008-07,97.20745
2008-08,96.31556
2008-09,95.49595
2008-10,94.78689
2008-11,94.25603
2008-12,93.94941
2009-01,93.8628
2009-02,94.03642
2009-03,94.47803
2009-04,95.17336
2009-05,96.05571
2009-06,97.06525
2009-07,98.12836
2009-08,99.15318
2009-09,100.0657
2009-10,100.7945
2009-11,101.3006
2009-12,101.6073
2010-01,101.7521
2010-02,101.782
2010-03,101.7243
2010-04,101.59
2010-05,101.3946
2010-06,101.1819
2010-07,100.9819
2010-08,100.8361
2010-09,100.7496
2010-10,100.7106
2010-11,100.7083
2010-12,100.7211
2011-01,100.7256
2011-02,100.709
2011-03,100.6377
2011-04,100.4988
2011-05,100.285
2011-06,99.9752
2011-07,99.59762
2011-08,99.20311
2011-09,98.83391
2011-10,98.52458
2011-11,98.30252
2011-12,98.17462
2012-01,98.13407
2012-02,98.1469
2012-03,98.18031
2012-04,98.22424
2012-05,98.29173
2012-06,98.41039
2012-07,98.5894
2012-08,98.80123
2012-09,99.02296
2012-10,99.23537
2012-11,99.42393
2012-12,99.59917
2013-01,99.79745
2013-02,100.0218
2013-03,100.2768
2013-04,100.5511
2013-05,100.8257
2013-06,101.0933
2013-07,101.3582
2013-08,101.5878
2013-09,101.7685
2013-10,101.8963
2013-11,102.0018
2013-12,102.1047
2014-01,102.206
2014-02,102.2938
2014-03,102.3644
2014-04,102.3904
2014-05,102.3542
2014-06,102.2564
2014-07,102.1155
2014-08,101.955
2014-09,101.7888
2014-10,101.6332
2014-11,101.4955
2014-12,101.3951
2015-01,101.3379
2015-02,101.3239
2015-03,101.3271
2015-04,101.315
2015-05,101.2695
2015-06,101.1908
2015-07,101.0619
2015-08,100.8968
2015-09,100.7186
2015-10,100.5451
2015-11,100.3816
2015-12,100.2305
2016-01,100.0806
2016-02,99.95596
2016-03,99.86733
2016-04,99.80449
2016-05,99.77323
2016-06,99.7815
2016-07,99.84515
2016-08,99.99392
2016-09,100.198
2016-10,100.3865
2016-11,100.5385
2016-12,100.6485
2017-01,100.7088
2017-02,100.7399
2017-03,100.7549
2017-04,100.7715
2017-05,100.808
2017-06,100.8267
2017-07,100.8143
2017-08,100.771
2017-09,100.7069
2017-10,100.6037
2017-11,100.4758
2017-12,100.3473
2018-01,100.226
2018-02,100.1161
2018-03,100.0188
2018-04,99.92778
2018-05,99.82007
2018-06,99.64625
2018-07,99.39584
2018-08,99.07533
2018-09,98.70825
2018-10,98.35474
2018-11,98.03581
2018-12,97.77864
2019-01,97.61112
2019-02,97.5325
2019-03,97.50742
2019-04,97.50646
2019-05,97.50691
2019-06,97.48922
2019-07,97.46042
2019-08,97.42758
2019-09,97.43612
2019-10,97.53988
2019-11,97.77374
2019-12,98.13306
2020-01,98.60477
2020-02,99.16186
2020-03,95.90975
2020-04,86.81641
2020-05,88.91261
2020-06,94.28973
2020-07,99.30912
2020-08,99.26659
2020-09,98.82277
2020-10,98.43453
2020-11,98.33596
2020-12,99.23607
2021-01,99.11929
2021-02,99.95323
2021-03,100.9347
2021-04,101.3999
2021-05,101.8362
2021-06,102.1811
2021-07,102.4053
2021-08,102.5142
2021-09,102.5286
2021-10,102.4628
2021-11,102.2532
2021-12,101.7939
2022-01,101.016
2022-02,99.93353
2022-03,98.68681
2022-04,97.49371
2022-05,96.47041
2022-06,95.65806
2022-07,95.05814
2022-08,94.62508
2022-09,94.34204
2022-10,94.20728
2022-11,94.1368
2022-12,94.03979
