Date,Sentiment_Index
200710,0.111
200711,0.102
200712,0.071
200801,0.202
200802,0.249
200803,0.178
200804,0.078
200805,0.026
200806,0.018
200807,-0.007
200808,0.019
200809,-0.251
200810,-0.238
200811,-0.611
200812,-0.504
200901,-0.497
200902,-0.699
200903,-0.698
200904,-0.850
200905,-0.767
200906,-0.765
200907,-0.562
200908,-0.604
200909,-0.672
200910,-0.845
200911,-0.936
200912,-0.883
201001,-0.866
201002,-0.792
201003,-0.803
201004,-0.588
201005,-0.560
201006,-0.317
201007,-0.330
201008,-0.246
201009,-0.239
201010,-0.362
201011,-0.412
201012,-0.398
201101,-0.388
201102,-0.326
201103,-0.278
201104,-0.281
201105,-0.139
201106,-0.215
201107,-0.242
201108,-0.251
201109,-0.182
201110,-0.189
201111,-0.332
201112,-0.365
201201,-0.425
201202,-0.353
201203,-0.355
201204,-0.347
201205,-0.327
201206,-0.460
201207,-0.324
201208,-0.338
201209,-0.329
201210,-0.265
201211,-0.394
201212,-0.423
201301,-0.343
201302,-0.212
201303,-0.144
201304,-0.245
201305,-0.191
201306,-0.131
201307,-0.226
201308,-0.136
201309,-0.107
201310,-0.156
201311,-0.211
201312,-0.099
201401,-0.294
201402,-0.255
201403,-0.252
201404,-0.266
201405,-0.213
201406,-0.171
201407,-0.042
201408,-0.075
201409,-0.016
201410,-0.112
201411,-0.048
201412,0.003
201501,0.132
201502,0.178
201503,0.128
201504,-0.064
201505,-0.039
201506,0.010
201507,-0.162
201508,-0.174
201509,-0.270
201510,-0.332
201511,-0.409
201512,-0.380
201601,-0.452
201602,-0.433
201603,-0.391
201604,-0.393
201605,-0.363
201606,-0.300
201607,-0.218
201608,-0.216
201609,-0.324
201610,-0.307
201611,-0.251
201612,-0.266
201701,-0.349
201702,-0.311
201703,-0.272
201704,-0.354
201705,-0.267
201706,-0.364
201707,-0.388
201708,-0.426
201709,-0.242
201710,-0.207
201711,-0.220
201712,-0.212
201801,-0.133
201802,-0.073
201803,-0.018
201804,-0.279
201805,-0.302
201806,-0.296
201807,-0.241
201808,-0.239
201809,-0.298
201810,-0.326
201811,-0.368
201812,-0.414
201901,-0.246
201902,-0.202
201903,-0.156
201904,-0.197
201905,-0.125
201906,-0.059
201907,-0.059
201908,0.006
201909,-0.011
201910,-0.160
201911,-0.127
201912,-0.135
202001,0.027
202002,-0.075
202003,-0.172
202004,-0.177
202005,-0.171
202006,-0.077
202007,-0.027
202008,-0.011
202009,-0.021
202010,0.103
202011,0.179
202012,0.348
202101,0.706
202102,1.025
202103,1.223
202104,0.963
202105,1.113
202106,1.222
202107,1.406
202108,1.658
202109,1.735
202110,1.721
202111,2.018
202112,2.278
