month,Mkt-RF,SMB,HML,RMW,CMA,mom,Quality,BAB,RF
198508,-1.02,-0.29,2.32,-0.1,1.83,1.85,0.069162255,0.279677769,0.55
198509,-4.54,-1.8,1.29,1.14,1.64,1.51,3.097717586,-0.121128683,0.6
198510,4.02,-1.5,0.75,0.89,-1.06,4.88,0.415766311,1.573079418,0.65
198511,6.48,0.02,-2.85,0.33,-2.32,-0.47,1.911301023,1.783510136,0.61
198512,3.88,-0.41,-1.54,0.99,-1.8,-0.23,1.659308319,2.511444072,0.65
198601,0.65,1.01,0.44,-2,-2.03,3,-1.85055056,1.252327225,0.56
198602,7.13,-0.71,-0.72,1.06,-1.2,2.76,1.442651686,3.869824311,0.53
198603,4.88,-0.66,-0.39,1.21,0.92,2.41,0.768810784,3.928128656,0.6
198604,-1.31,2.84,-2.87,2.91,0.03,-0.37,2.093924035,1.34799626,0.52
198605,4.62,-1.29,-0.21,2.13,1.08,2.05,0.786343571,2.834440763,0.49
198606,1.03,-0.89,1.28,1.8,0.87,5.07,2.125268152,4.597907823,0.52
198607,-6.45,-3.46,4.7,-0.54,0.84,1.83,1.560455368,0.899430585,0.52
198608,6.07,-4.35,3.51,-1.66,3.21,-5.28,-1.944800671,-2.045468881,0.46
198609,-8.6,2.05,3.22,-0.08,3.71,-5.79,-0.821291355,-2.886048192,0.45
198610,4.66,-2.33,-1.42,-0.05,1,4.46,0.593643671,-1.921221633,0.46
198611,1.17,-1.88,-0.07,1.09,0.67,-0.26,2.427426032,-1.355880738,0.39
198612,-3.27,0.12,0.36,0.79,0.09,0.35,1.496814942,-2.705571667,0.49
198701,12.47,-1.54,-3.16,0.17,-1,2.2,0.31242392,3.213560644,0.42
198702,4.39,3.4,-5.91,-0.76,-2.66,-2.07,-0.252162004,0.100962699,0.43
198703,1.64,0.28,1.61,1.36,4.14,1.68,-0.588004578,4.46652502,0.47
198704,-2.11,-1.54,-0.39,-0.49,1.05,0.22,0.50533653,-0.018991219,0.44
198705,0.11,-0.56,0.23,0.51,1.14,-0.74,0.501610067,-0.730678736,0.38
198706,3.94,-2.21,1.04,1.7,0.84,-0.25,1.358887874,1.772916188,0.48
198707,3.85,-1.14,0.68,-0.61,1.61,2.72,-0.794111144,3.790791525,0.46
198708,3.52,-0.94,-0.93,2.04,-1.61,-0.86,2.88775252,-1.011339761,0.47
198709,-2.59,0.38,0.27,-0.97,1.87,0.77,-0.584330105,-0.392805494,0.45
198710,-23.24,-8.07,4.24,2.04,2.34,-7.86,4.981349272,-13.29049276,0.6
198711,-7.77,2.85,2.95,-1.88,0.68,-1.17,-0.191819005,4.007617786,0.35
198712,6.81,0.06,-4.43,2.96,-2.42,5.87,1.974029149,-9.648688738,0.39
198801,4.21,-0.51,5.01,-1.14,2.13,-7.24,-2.312758155,3.438570872,0.29
198802,4.75,3.32,-1.71,1.56,-0.01,-1.47,0.148947863,-1.638299553,0.46
198803,-2.27,6.25,0.73,-0.25,1.8,0.58,-0.901464458,5.080787236,0.44
198804,0.56,1.16,1.67,-0.2,1.92,2.24,-0.265846733,1.394840773,0.46
198805,-0.29,-2.56,2.42,-0.74,0.33,0.63,0.905673251,0.479604188,0.51
